   38 1334    0
                   9.6769013E+00  -1.5257723E+00  -1.1065272E+00
                   9.0272229E+00  -2.9197079E+00  -2.4901883E+00
                   1.0839355E+01  -2.4850350E+00   3.1114905E-01
                   1.0884147E+01  -1.4032349E-01  -2.0555343E+00
                   7.5376559E+00  -1.3545745E-01   2.3468696E-01
                   7.9666104E+00   1.5502481E+00   1.7767374E+00
                   5.1699048E+00  -9.1433258E-01  -3.7428858E-01
                   4.8603072E+00  -2.2126764E+00  -1.7457156E+00
   5.6040000E-02  -6.3479978E+00   2.2980825E+00  -4.6475770E+00
   4.9978000E-02  -7.6374164E+00   4.0728168E+00  -4.6475770E+00
   4.9428000E-02  -9.7237419E+00   3.3949286E+00  -4.6475770E+00
   5.1648000E-02  -9.7237419E+00   1.2012364E+00  -4.6475770E+00
   5.0997000E-02  -8.2140625E+00   2.2980825E+00  -5.2538993E+00
  -3.6179000E-02   1.2659879E+01   3.9127155E-01   1.7212135E+00
  -1.1904000E-02   8.6929947E+00  -5.8365453E+00  -9.7318999E-02
  -6.7450000E-03   1.2433743E+01  -4.9827426E+00  -2.1157353E+00
  -7.5850000E-03   1.3660653E+01  -3.4442467E+00  -2.1157353E+00
  -6.1820000E-03   1.2659879E+01  -3.4428162E+00  -3.9342659E+00
  -7.1560000E-03   8.6929947E+00   1.7840147E-01  -5.1927289E+00
  -1.1005000E-02   8.0562364E+00  -5.9080960E+00  -6.7605136E-01
  -6.0270000E-03   7.2130860E+00  -6.0618857E+00  -2.4901883E+00
  -5.9240000E-03   9.0272229E+00  -6.5479818E+00  -2.4901883E+00
  -5.9380000E-03   1.0841360E+01  -6.0618857E+00  -2.4901883E+00
  -5.7000000E-04   6.4851484E+00  -4.7666335E+00  -4.3043253E+00
  -2.7290000E-03   8.0562364E+00  -5.9080960E+00  -4.3043253E+00
  -2.9970000E-03   9.9982095E+00  -5.9080960E+00  -4.3043253E+00
