   39 1410    0
                   6.6232137E+00  -4.0042613E+00  -9.5971624E-02
                   4.8917031E+00  -1.9125822E+00  -1.0343264E+00
                   6.0888219E+00   4.6195675E-01   2.2337695E-01
                   7.0975992E+00   1.2451405E-01   2.2968920E+00
                   2.1927436E+00  -2.4549525E+00  -6.8604612E-02
                   2.0335530E-01  -5.0063566E-01  -9.0304336E-01
                  -2.4518722E+00  -1.1988705E+00   9.3652930E-02
                  -4.3894461E+00   7.8922138E-01  -7.3304550E-01
                  -7.1235508E+00   3.6292188E-01   1.2010720E-01
                  -8.6976680E+00   2.5289560E+00  -8.9101714E-01
                  -8.1657498E+00  -2.0800989E+00  -9.2486780E-01
   2.0671500E-01  -9.4818835E+00  -3.1647184E+00  -5.5463552E+00
   2.1456900E-01  -7.3955579E+00  -3.8426047E+00  -5.5463552E+00
   2.1733500E-01  -7.9722040E+00  -2.0678723E+00  -6.1526757E+00
   2.2523600E-01  -8.6499221E+00  -4.7674801E+00   2.4536939E+00
   2.3040500E-01  -6.5635966E+00  -5.4453664E+00   2.4536939E+00
   2.1145700E-01  -8.6499221E+00  -6.2854743E+00   8.6632409E-01
   2.1914800E-01  -6.6159364E+00  -6.6441197E+00   8.6632409E-01
   2.4185100E-01  -4.8272805E+00  -5.6114393E+00   8.6632409E-01
   2.1335600E-01  -8.6499221E+00  -6.2854743E+00  -1.0957746E+00
   2.1849500E-01  -6.6159364E+00  -6.6441197E+00  -1.0957746E+00
   2.4327900E-01  -4.8272805E+00  -5.6114393E+00  -1.0957746E+00
   2.2791900E-01  -6.5635966E+00  -5.4453664E+00  -2.6831445E+00
   2.0095900E-01   9.3320490E+00   2.6663977E+00  -2.9821407E+00
   2.2835700E-01   8.7864775E+00   8.0834730E-01  -2.9821407E+00
   2.2399200E-01   5.7311421E+00   5.6521232E+00  -3.7643663E+00
   2.2980400E-01   3.6971582E+00   5.2934778E+00  -3.7643663E+00
   2.4459200E-01   2.3695690E+00   3.7113179E+00  -3.7643663E+00
   2.2595100E-01   7.0729004E+00   2.6786375E+00  -5.3517361E+00
   2.2337700E-01   5.7834818E+00   4.4533717E+00  -5.3517361E+00
   2.3662600E-01   3.6971582E+00   3.7754836E+00  -5.3517361E+00
   2.5730000E-01   3.6971582E+00   1.5817914E+00  -5.3517361E+00
   2.5549700E-01   5.7834818E+00   9.0390318E-01  -5.3517361E+00
   2.3606600E-01   5.2068357E+00   2.6786375E+00  -5.9580566E+00
   1.6730300E-01   9.8692716E+00   6.8887070E+00   1.9656646E+00
   1.6831700E-01   8.4057676E+00   8.1568397E+00   1.9656646E+00
   1.8135700E-01   1.0491953E+01   3.1864371E+00  -1.8547661E-02
   1.9955600E-01   5.9859811E+00   6.7490354E+00  -3.4553035E+00
   1.7164200E-01   6.1543311E+00   8.3161531E+00   2.4179913E+00
   1.7955200E-01   4.0680075E+00   7.6382649E+00   2.4179913E+00
   1.6770600E-01   6.1019914E+00   9.5149045E+00   8.3062150E-01
   1.7549800E-01   4.0680075E+00   9.1562591E+00   8.3062150E-01
   1.9156700E-01   2.7404183E+00   7.5740992E+00   8.3062150E-01
   2.0821100E-01   2.7404183E+00   5.5087383E+00   8.3062150E-01
   1.6975200E-01   6.1019914E+00   9.5149045E+00  -1.1314772E+00
   1.7883900E-01   4.0680075E+00   9.1562591E+00  -1.1314772E+00
   1.9704600E-01   2.7404183E+00   7.5740992E+00  -1.1314772E+00
   2.1845500E-01   2.7404183E+00   5.5087383E+00  -1.1314772E+00
   1.7928200E-01   6.1543311E+00   8.3161531E+00  -2.7188470E+00
   1.9421800E-01   4.0680075E+00   7.6382649E+00  -2.7188470E+00
   1.6303600E-01   1.1675923E+01   5.5506751E+00  -1.2555150E-01
   1.6014600E-01   1.0969529E+01   7.4914804E+00  -1.2555150E-01
   1.6688000E-01   9.1808728E+00   8.5241609E+00  -1.2555150E-01
   1.7538200E-01   1.0969529E+01   3.6098699E+00  -1.2555150E-01
   1.6675700E-01   1.1675923E+01   5.5506751E+00  -2.0876502E+00
   1.6166900E-01   1.0969529E+01   7.4914804E+00  -2.0876502E+00
   1.6486000E-01   9.1808728E+00   8.5241609E+00  -2.0876502E+00
   1.8159300E-01   1.0969529E+01   3.6098699E+00  -2.0876502E+00
   1.7456600E-01   1.0522631E+01   5.5506751E+00  -3.6750200E+00
   1.7103100E-01   9.2332125E+00   7.3254094E+00  -3.6750200E+00
   1.9249400E-01   7.1468889E+00   6.6475212E+00  -3.6750200E+00
   1.9785600E-01   9.2332125E+00   3.7759409E+00  -3.6750200E+00
   1.8881100E-01   8.6565664E+00   5.5506751E+00  -4.2813405E+00
   1.6136300E-01   7.5032496E+00   4.7360124E+00   5.1247007E+00
   1.5691600E-01   9.3693144E+00   4.7360124E+00   4.5183802E+00
   1.6185400E-01   8.0798957E+00   6.5107466E+00   4.5183802E+00
   1.7064400E-01   5.9935721E+00   5.8328585E+00   4.5183802E+00
   1.6740900E-01   5.9935721E+00   3.6391663E+00   4.5183802E+00
   1.4504000E-01   8.0798957E+00   2.9612781E+00   4.5183802E+00
   1.5949100E-01   1.0522607E+01   4.7360124E+00   2.9310104E+00
   1.6190400E-01   9.8162119E+00   6.6768177E+00   2.9310104E+00
   1.6801900E-01   8.0275560E+00   7.7094981E+00   2.9310104E+00
   1.9702100E-01   4.6659829E+00   3.7033319E+00   2.9310104E+00
   1.5094900E-01   9.8162119E+00   2.7952071E+00   2.9310104E+00
   2.4356900E-01   5.6393071E+00  -5.7084351E+00   3.9902301E+00
   2.3372700E-01   8.0962230E+00  -7.2297005E+00   2.7317690E+00
   2.2775900E-01   9.6061915E+00  -5.9213052E+00   2.7317690E+00
   2.2141800E-01   1.0606966E+01  -2.0857869E+00   9.1323654E-01
